2013-05-26 19:10:17,199 INFO  - Salir Cambiar Estado
2013-05-26 19:10:17,990 INFO  - Ingreso Cambiar Estado Habitación
2013-05-26 19:10:19,112 INFO  - Salir Cambiar Estado
2013-05-26 19:10:20,440 INFO  - Ingreso Cambiar Estado Habitación
2013-05-26 19:10:21,057 INFO  - Salir Cambiar Estado
2013-05-26 19:10:22,232 INFO  - Ingreso Cambiar Estado Habitación
2013-05-26 19:10:22,943 INFO  - Salir Cambiar Estado
2013-05-26 19:10:23,619 INFO  - Ingreso Cambiar Estado Habitación
2013-05-26 19:10:24,440 INFO  - Salir Cambiar Estado
2013-05-26 19:10:25,370 INFO  - Ingreso Cambiar Estado Habitación
2013-05-26 19:10:26,167 INFO  - Salir Cambiar Estado
2013-05-26 19:10:26,937 INFO  - Ingreso Cambiar Estado Habitación
2013-05-26 19:10:27,792 INFO  - Salir Cambiar Estado
2013-05-26 19:10:28,817 INFO  - Ingreso Cambiar Estado Habitación
2013-05-26 19:10:36,089 INFO  - Ejecuto Cambio Habitación - Hab:101 Opcion:Cambiar Estado
2013-05-26 19:10:36,089 INFO  - Salir Cambiar Estado
2013-05-26 19:10:37,930 INFO  - Ingreso Asignar Habitación.
2013-05-26 19:10:51,704 INFO  - Ejecuto Asignar Habitación - Nro.Hab:101, Categoria:Común Express, Conserje:Ricardo.
2013-05-26 19:10:51,724 INFO  - Salio Asignar Habitación.
2013-05-26 19:10:54,980 INFO  - Ingreso Cerrar Turno
2013-05-26 19:10:57,513 INFO  - Ingreso Cierre Turno al Cliente
2013-05-26 19:10:58,195 INFO  - Ejecuto Cierre de Turno - Hab:101
2013-05-26 19:10:58,196 INFO  - Salir Cierre Turno Cliente
2013-05-26 20:27:17,141 INFO  - Ingreso Cierre Caja
2013-05-26 20:30:38,463 INFO  - Salir Cierre Caja
2013-05-26 20:32:21,070 INFO  - Ingreso Cierre Caja
2013-05-26 20:33:58,300 INFO  - Ingreso Cierre Caja
2013-05-26 20:39:15,059 INFO  - Ingreso Cierre Caja
2013-05-26 20:42:18,010 INFO  - Ingreso Cierre Caja
2013-05-26 20:43:30,969 INFO  - Ingreso Cierre Caja
2013-05-26 20:46:40,890 INFO  - Ingreso Cierre Caja
2013-05-26 20:51:00,019 INFO  - Salir Cierre Caja
2013-05-26 20:51:02,015 INFO  - Ingreso Cierre Caja
2013-05-26 20:52:54,346 INFO  - Ingreso Cierre Caja
2013-05-26 20:56:49,167 INFO  - Salir Cierre Caja
2013-05-26 21:00:23,361 INFO  - Ingreso Cierre Caja
2013-05-26 21:05:58,860 INFO  - Ingreso Cierre Caja
2013-05-26 21:06:52,279 INFO  - Salir Cierre Caja
2013-05-26 21:07:03,369 INFO  - Ingreso Cierre Caja
2013-05-26 21:07:21,062 INFO  - Salir Cierre Caja
2013-06-13 20:40:47,307 ERROR - La clave proporcionada no se encontró en el diccionario. -    en System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   en Hoteles.fPrincipal2.timerParpadeo_Tick(Object sender, EventArgs e) en C:\Users\javier\Documents\Visual Studio 2008\Projects\HotelApp\Hoteles\fPrincipal2.cs:línea 260
2013-06-13 20:40:51,948 ERROR - La clave proporcionada no se encontró en el diccionario. -    en System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   en Hoteles.fPrincipal2.timerParpadeo_Tick(Object sender, EventArgs e) en C:\Users\javier\Documents\Visual Studio 2008\Projects\HotelApp\Hoteles\fPrincipal2.cs:línea 260
2013-06-13 20:40:56,644 ERROR - La clave proporcionada no se encontró en el diccionario. -    en System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   en Hoteles.fPrincipal2.timerParpadeo_Tick(Object sender, EventArgs e) en C:\Users\javier\Documents\Visual Studio 2008\Projects\HotelApp\Hoteles\fPrincipal2.cs:línea 260
2013-06-13 20:41:01,653 ERROR - La clave proporcionada no se encontró en el diccionario. -    en System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   en Hoteles.fPrincipal2.timerParpadeo_Tick(Object sender, EventArgs e) en C:\Users\javier\Documents\Visual Studio 2008\Projects\HotelApp\Hoteles\fPrincipal2.cs:línea 260
2013-06-13 20:41:06,661 ERROR - La clave proporcionada no se encontró en el diccionario. -    en System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   en Hoteles.fPrincipal2.timerParpadeo_Tick(Object sender, EventArgs e) en C:\Users\javier\Documents\Visual Studio 2008\Projects\HotelApp\Hoteles\fPrincipal2.cs:línea 260
2013-06-13 20:41:11,666 ERROR - La clave proporcionada no se encontró en el diccionario. -    en System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   en Hoteles.fPrincipal2.timerParpadeo_Tick(Object sender, EventArgs e) en C:\Users\javier\Documents\Visual Studio 2008\Projects\HotelApp\Hoteles\fPrincipal2.cs:línea 260
2013-06-13 20:41:16,678 ERROR - La clave proporcionada no se encontró en el diccionario. -    en System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   en Hoteles.fPrincipal2.timerParpadeo_Tick(Object sender, EventArgs e) en C:\Users\javier\Documents\Visual Studio 2008\Projects\HotelApp\Hoteles\fPrincipal2.cs:línea 260
2013-06-13 20:41:21,680 ERROR - La clave proporcionada no se encontró en el diccionario. -    en System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   en Hoteles.fPrincipal2.timerParpadeo_Tick(Object sender, EventArgs e) en C:\Users\javier\Documents\Visual Studio 2008\Projects\HotelApp\Hoteles\fPrincipal2.cs:línea 260
2013-06-13 20:41:26,690 ERROR - La clave proporcionada no se encontró en el diccionario. -    en System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   en Hoteles.fPrincipal2.timerParpadeo_Tick(Object sender, EventArgs e) en C:\Users\javier\Documents\Visual Studio 2008\Projects\HotelApp\Hoteles\fPrincipal2.cs:línea 260
2013-06-13 20:41:29,429 INFO  - Ingreso Asignar Habitación.
2013-06-13 20:41:31,697 ERROR - La clave proporcionada no se encontró en el diccionario. -    en System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   en Hoteles.fPrincipal2.timerParpadeo_Tick(Object sender, EventArgs e) en C:\Users\javier\Documents\Visual Studio 2008\Projects\HotelApp\Hoteles\fPrincipal2.cs:línea 260
2013-06-13 20:41:36,703 ERROR - La clave proporcionada no se encontró en el diccionario. -    en System.Collections.Generic.Dictionary`2.get_Item(TKey key)
   en Hoteles.fPrincipal2.timerParpadeo_Tick(Object sender, EventArgs e) en C:\Users\javier\Documents\Visual Studio 2008\Projects\HotelApp\Hoteles\fPrincipal2.cs:línea 260
